,NAME10,Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation,Crime,EP_AFAM,EP_HISP,EP_ASIAN,EP_AIAN,SVI
207,1703.0,0.5018,0.7709,0.6153,0.4794,5998,0.1,36.2,5.5,0.0,0.5817
208,1704.0,0.6766,0.5018,0.5987,0.0682,3860,4.9,29.9,3.4,0.0,0.4119
209,1705.0,0.1496,0.3028,0.4566,0.1545,3845,0.0,19.9,6.3,0.0,0.1523
210,1706.0,0.5292,0.4865,0.502,0.2706,1655,2.0,20.5,7.8,0.0,0.4459
211,1707.0,0.4389,0.1425,0.5511,0.0845,2422,0.0,31.9,3.3,0.0,0.1947
212,1708.0,0.6029,0.5931,0.6334,0.6351,3679,1.7,33.9,8.9,0.0,0.6447
213,1709.0,0.9475,0.2663,0.7154,0.4361,1431,0.7,54.7,2.2,0.0,0.731
214,1710.0,0.5154,0.2985,0.5895,0.6069,7918,6.0,27.5,2.7,0.0,0.5258
215,1711.0,0.4853,0.3099,0.7028,0.227,4530,1.3,48.0,6.1,0.0,0.3885
216,1801.0,0.734,0.7697,0.6567,0.6797,6302,0.4,42.3,3.7,0.0,0.77
217,1901.0,0.7365,0.3676,0.8735,0.6143,4090,1.3,86.2,3.1,0.0,0.7012
218,1902.0,0.8744,0.6351,0.852,0.6818,8162,5.3,76.5,3.1,0.0,0.8434
219,1903.0,0.805,0.3096,0.7811,0.4373,8940,1.6,61.2,1.9,0.0,0.6576
220,1904.01,0.7684,0.5436,0.7986,0.6115,6459,1.7,64.2,7.6,0.0,0.7457
221,1904.02,0.8679,0.7036,0.7845,0.3277,7544,1.5,67.6,0.3,0.0,0.7411
222,1906.01,0.9165,0.7822,0.8735,0.2528,6280,1.6,88.9,0.0,0.0,0.7687
223,1906.02,0.8237,0.8532,0.8222,0.6643,7734,3.0,76.0,0.4,0.0,0.8593
224,1907.01,0.7779,0.9254,0.8124,0.4383,3922,2.5,71.6,1.3,0.0,0.7915
225,1907.02,0.8799,0.8741,0.871,0.7359,7007,3.6,86.5,0.0,0.0,0.9085
226,1908.0,0.9321,0.844,0.8858,0.8016,9861,1.1,88.4,1.2,0.1,0.9463
227,1909.0,0.7964,0.9607,0.8953,0.6327,4433,4.4,89.8,0.0,0.0,0.887
228,1910.0,0.7098,0.7875,0.9027,0.3931,4125,1.9,88.5,4.7,0.0,0.7049
229,1911.0,0.8682,0.8338,0.8889,0.39,12365,2.7,85.4,2.4,0.0,0.8047
230,1912.0,0.8615,0.9125,0.9269,0.4899,8794,0.0,97.0,0.0,0.0,0.8627
231,1913.01,0.7018,0.9896,0.9217,0.731,7455,2.1,85.2,8.6,0.0,0.8891
232,1913.02,0.8403,0.7697,0.8913,0.4475,7412,1.2,92.3,0.0,0.0,0.7905
233,2001.0,0.7196,0.7543,0.8324,0.5006,5418,3.6,70.0,7.2,0.0,0.7322
234,2002.0,0.8317,0.3808,0.8649,0.637,9694,5.5,83.6,0.0,0.0,0.7601
235,2003.0,0.8375,0.3111,0.8876,0.6253,3005,6.2,86.4,0.4,0.0,0.7475
236,2004.01,0.9582,0.6631,0.8821,0.4558,5254,2.7,87.6,0.0,0.0,0.8421
237,2004.02,0.8028,0.8649,0.8698,0.6794,6643,4.3,81.2,3.7,0.1,0.8612
238,2101.0,0.5559,0.1118,0.6788,0.6499,6769,2.3,39.0,5.0,0.0,0.504
239,2104.0,0.9616,0.8007,0.8112,0.7875,4321,1.7,70.1,1.3,0.0,0.9435
240,2105.01,0.8467,0.1717,0.7934,0.4389,7075,4.6,57.1,4.1,0.0,0.6425
241,2105.02,0.7568,0.4588,0.8001,0.5181,6669,3.5,61.8,1.8,0.0,0.6932
242,2106.01,0.7405,0.1373,0.7998,0.7439,4664,0.5,59.0,11.3,0.0,0.6677
243,2106.02,0.672,0.2482,0.7792,0.7479,7869,0.2,58.0,5.5,0.0,0.6606
244,2107.0,0.7337,0.1566,0.7418,0.4754,5454,1.5,54.2,3.0,0.9,0.578
245,2108.0,0.8308,0.1388,0.7224,0.387,1933,0.7,54.3,0.7,0.0,0.5977
246,2109.0,0.399,0.2472,0.6457,0.2623,4304,6.3,29.7,5.8,0.0,0.3262
247,2203.0,0.2586,0.0421,0.5585,0.6324,3594,1.6,24.4,8.3,0.0,0.2454
248,2204.0,0.2712,0.0756,0.5078,0.5455,4505,0.8,20.4,8.4,0.0,0.2561
249,2205.0,0.3486,0.1413,0.6018,0.2776,5990,5.9,24.5,5.5,0.0,0.2592
250,2206.01,0.3897,0.0749,0.6411,0.2568,3272,4.6,30.6,2.8,0.5,0.2402
251,2206.02,0.4678,0.0967,0.6018,0.9902,9211,4.8,30.0,4.4,0.0,0.6327
252,2207.01,0.7472,0.2018,0.8103,0.7773,5196,2.8,69.9,1.8,0.0,0.7058
253,2207.02,0.8127,0.1993,0.7621,0.6883,7346,2.7,60.6,2.3,0.0,0.7067
254,2209.01,0.8022,0.5101,0.8204,0.5642,5748,13.4,63.6,0.8,0.0,0.742
255,2209.02,0.6855,0.6711,0.8118,0.3861,5210,1.5,71.3,2.0,0.0,0.649
256,2210.0,0.7159,0.0703,0.7565,0.43,4891,5.3,55.5,2.7,0.0,0.4972
257,2211.0,0.742,0.3621,0.6819,0.8857,7645,6.0,35.3,4.7,0.0,0.7693
258,2212.0,0.3148,0.0709,0.6125,0.9149,5180,9.0,24.6,3.1,0.0,0.4502
259,2213.0,0.6634,0.0408,0.6991,0.9097,6519,4.5,38.9,7.5,0.0,0.5937
260,2214.0,0.5627,0.0808,0.6709,0.8925,8532,2.9,30.5,6.5,0.0,0.5771
261,2215.0,0.5799,0.0851,0.5477,0.4776,4516,8.2,22.6,2.3,0.0,0.4143
262,2216.0,0.0479,0.024,0.4768,0.1548,4967,3.1,16.3,5.5,0.0,0.0187
263,2222.0,0.1348,0.0178,0.4246,0.5252,4010,3.7,10.2,6.9,0.0,0.0943
264,2225.0,0.4859,0.1545,0.6733,0.3943,2747,3.6,42.4,2.0,0.0,0.3993
265,2226.0,0.7042,0.1026,0.642,0.5528,3493,8.0,32.0,1.7,0.0,0.5421
266,2227.0,0.7912,0.4162,0.7578,0.855,3573,2.6,54.6,1.9,0.0,0.8053
267,2228.0,0.8185,0.6271,0.7924,0.4902,2126,6.1,65.5,0.0,0.0,0.7485
268,2229.0,0.8323,0.5792,0.836,0.7245,3341,7.6,74.5,0.0,0.6,0.8225
269,2301.0,0.691,0.2838,0.7648,0.5519,3155,10.8,46.1,4.1,0.0,0.6149
